Időbélyeg,Melyik csoprot,Pontszám,A kisfilm elején a főszereplő levette a kalapját?,Milyen színű a főszereplő szeme?,Hány ló húzta a kocsit?,A főszereplőnek volt szakálla,A főszereplő édesapjánál...,Mi volt a szakadék mélyén?,Kik voltak a családi képen?,Milyen színű volt a zsebóra?,Mi volt a főszereplő foglalkozása felnőtt korára?,"Kérlek add meg a Neptun kódodat! Ezt később az egyéni válaszaiddal nem fogjuk összekötni, csupán az ellenőrizhetőséget szolgálja."
2020.03.26. 17:11:15,a,,Igen,Barna,2,Igaz,puska volt,Tengerpart,"Anya, apa",Arany,Sheriff,CCY1L9
2020.03.27. 11:24:33,a,,Nem,Barna,1,Hamis,puska volt,Sziklák,"Anya, apa",Arany,Sheriff,B1WDJZ
2020.03.27. 17:24:19,a,,Nem,Kék,2,Igaz,puska volt,Tengerpart,"Anya, apa",Arany,Sheriff,XA4IEU
2020.03.28. 13:37:32,a,,Igen,Barna,2,Igaz,puska volt,Füves puszta,"Anya, apa, gyerek",Arany,Sheriff,A4DHHN
2020.03.28. 17:21:23,a,,Nem,Barna,2,Igaz,puska volt,Sziklák,"Anya, apa, gyerek",Arany,Sheriff,GGXHUY
2020.03.28. 19:13:56,a,,Igen,Barna,2,Igaz,puska volt,Sziklák,"Anya, apa, gyerek",Arany,Sheriff,Z4JOYL
2020.03.29. 9:42:51,a,,Igen,Barna,2,Hamis,puska volt,Sziklák,"Anya, apa",Arany,Sheriff,"UKNPH"""
2020.03.22. 11:47:54,b,,,,,,,,,,,
2020.03.26. 12:52:21,b,,Igen,Barna,2,Igaz,puska volt,Sziklák,"Anya, apa, gyerek",Réz,Sheriff,AAYLE8
2020.03.28. 18:52:51,b,,Nem,Kék,2,Igaz,puska volt,Tengerpart,"Anya, apa",Arany,Sheriff,I0JJ72
2020.03.29. 9:18:03,b,,Igen,Barna,1,Hamis,puska volt,Tengerpart,"Anya, apa, gyerek",Arany,Sheriff,YF1XDU
2020.03.29. 12:20:55,b,,Nem,Barna,2,Igaz,puska volt,Tengerpart,"Anya, apa, gyerek",Arany,Sheriff,E1NYAG
2020.03.29. 18:57:21,b,,Nem,Barna,2,Igaz,puska volt,Tengerpart,"Anya, apa, gyerek",Arany,Sheriff,B3YHET
2020.03.30. 11:15:34,b,,Nem,Kék,2,Hamis,puska volt,Sziklák,"Anya, apa, gyerek",Arany,Sheriff,OW9O7M
2020.03.30. 13:52:37,b,,Nem,Zöld,2,Igaz,puska volt,Füves puszta,"Anya, apa, gyerek",Réz,Sheriff,HKDTQL